@relation 'ARFF for weer_zonderburen.txt_ARFF for weer_zonderburen.txt_ARFF for weer_zonderburen.txt'

@attribute tweet string
@attribute @@weather@@ {y,n}
@attribute @@sentiment@@ {g,n,b}

@data
'heeft nog twee emmers zout in de schuur staan van de vorige winter, dus dat komt vast goed #extreme #winter #weer #voorspelling',y,g
'Zo op weg naar opening #MAX10 een wereldrestaurant in Deventer dat vandaag opent. #Weertevredenklant',n,g
'Waarom heeft @EditieNL zo vaak foto\'s van ene Els Bax bij de weerfoto\'s? #RTL #weer',y,n
'effe naar de Action in #Veenendaal met #Midlandfm aan in de auto! #weereenswatanders',n,n
'Heerlijk #weer om koekjes te #bakken, in de #keuken',y,g
'@Chieltoots @FH1975 @eemsmielie @BobTheusink  ik ben ziekjes, dus ik slaap nu tussen jullie in! #weergeenwildenacht http://t.co/k96NKNYm',n,b
'Gout #prorail verwacht barre winter en geeft nu al #weeralarm af #NS nog eerder met aangepaste dienstregeling rijden #nietzeurendoorrijden',n,n
'Dan stappen we maar eens op de #fiets met dit klote #weer.. het #waait ontzettend hard hopelijk heb ik #wind mee!',y,b
'Donkere wolken, een stevige bries uit ZW, maar droog. Balkontemperatuur 17 graden... #weerbericht #soestdijk',y,n
'gemeente en asr met zwaar geschut op ovw vergadering bleek slechts \"luchtafweer\" #weernikswijzer',n,b
'Geef vanmiddag diverse #massages zin reageer dan heerlijk met dit #weer ook #jacuzzi aanwezig',y,g
'Niet alle treinen hebben Wifi. dat is jammer maar #weerwatgeleerd',n,b
'@marije191 Is dat zo? Dat wist ik niet! #weerwatgeleerd #PZC',n,g
'eerst het #weer',y,n
'Kutt ik moet ook nog strafwerk maken ;S #weer',y,b
'doei #weerleren',n,n
#weerterug,n,n
'Klopt @MoBeMiBu ik was er ondertussen al achter. Gemeente Borssele is met dubbel S. Zie mijn andere tweets #weerwatgeleerd',n,n
'#KAK na update van #twitter alle berichten verwijderd! #hoedan #bigfail #weervanvoorafaanbeginnen en niet #gewoonomdathetkan  #BIGFAIL',n,b
'Leuk dagje gehad zo&nu slapen..#weer dagje dichter bij \"alles naar de klote!@zaterdag!!',y,g
'En nu slapen, dan toch. #weertelaat',n,b
'Pfoe wat een #regen zelf met een #regenpak aan ben ik zeik maar dan ook #zeiknat geworden! #klote #weer',y,b
'Wat een rot #weer buiten. Nu in de trein naar schagen, en dan weer in de #regen naar stageplaats lopen:(',y,b
'Bewolkt en lichte regen, weinig wind, balkontemperatuur 13 graden... #weerbericht #soestdijk',y,n
'Wat een #treurig #weer!',y,b
'de villa terug krijgen #weeriseennuttigelesomprogrammasvangisterterugtekijke',n,g
'Nog even paar uurtjes thuis, straks werken. Wat een #bagger#weer... (@ Casa Papa & Mama) http://t.co/daKQQV3b',n,b
'Ik had beter niks kunnen eten.. #weermisselijk',n,b
'@MirtheBlondinax nee serieus ij stalk je #weergrapje -- toen hy zei dat hij met je had, ging ik je profiel kijken ... Btw coole ava',n,g
'@myblacksmile15 aaah okee xd #weerwatgeleerd :p',n,g
'Kyra is met een inhaalslag bezig, net de 5e fles schoon leeg vandaag. De sonde is er weer uit. #weerbeter #gelukkig',n,g
'Slapen #weerlaat:( #twexitx',n,b
'Wolkenloze hemel, stralende zon, weinig wind ! Balkontemperatuur 9 graden... #weerbericht #soestdijk',y,g
'Dat dus! RT @jeroenpeters_ Wat een #heerlijk #weer buiten! Lekker #fris, maar wel met een super zonnetje. Zo mag het langer blijven &lt;3',y,g
'Wachten op de bus. #weernaarhuis',n,n
'zo lekker bootje varen met mike#lekker#weer',n,g
'#weerstand ik hou wel van wat weerstand, anders wordt #verandermanagement wat saai vind je niet?',n,g
'help?! duits?? #weereen1',n,b
'ach wathever..who cares? gewoon nieuwe zak pakken #weerblij #nietmeerblij #khebgeennieuwezak #humeurisslecht Snel denk aan leuke dingen!!',n,b
'Heb mijn gebruikersnaam veranderd in @donboot #weereenswatanders :-)',n,g
'Zo net weer 3 brandwondslachtoffers gehad en 1 vervoerd. Had inhalatie trauma. #weerlevensgered.',n,g
'Ipos was loos #weer gevonden!!',y,g
'@irissbalk maar jouw tweets zijn zo LANGG xD #Weer #LekkerLullig',n,g
'nog even boek voor nederlands lezen en dan slapen #weerveelgedaanvanavond #niet',n,b
'voel jeje eigen aangesproken alleen @Maaaaiikee_  snapt hem alleen#weer:P',n,g
'Ik ga op bedje, morgen is @wilmaa66 hier alweer om half9 #weerindebaan',n,n
'De #weerstand van het #lichaam wordt groter...',n,n
'Fijn, slaap je net half begint je nichtje heel hard en zielig te huilen :S #weerwakkerdus',n,b
'@gwensky98 jij had het natuurlijk wel gemerkt hea #weerwolf ;$',n,g
'Godver een of andere mongol ging mij bellen net #wakker #weerslapen',n,b
'Wolkenloze hemel, zwak briesje uit O.\'t zonnetje schijnt, maar het is nog fris, balkontemperatuur 4 graden... #weerbericht #soestdijk',y,n
'Net me tweede rijles gehad ging goed!!! Ik kom er wel!! (A) #weeropdebijrijdersstoel',n,g
'Zucht voor niks me wekker!! Om 12 uur pas die shoot #weerslapen',n,b
'Nooit geweten dat honden gek zijn op peren! #weerwatgeleerd',n,g
'Oudste #dochter vandaag jarig 26 geworden Tessa gefeliciteerd maak er een fijne dag van het is lekker #weer vandaag',y,g
'Oeps niet 1 et was 0;o #weereentweetgemist -,/',n,b
'De #weersverwachting en de weerkaart is weer aangepast! Meer weten? Kijk op: meteo-info.nl (via @meteo_info_nl)',n,n
'Gevoel #temperatuur 24 graden uit wind. Allen bloot. Zwembroek & zonnebanken aan strand. Wat een #weer! #zon #Zeeland http://t.co/pDVKA0r3',y,g
'Gevoel #temperatuur 24 graden uit wind. Allen bloot. Zwembroek & zonnebanken aan strand. Wat een #weer! #zon #Zeeland  http://t.co/y7zg0TrS',y,g
'Ik denk dat ik morgen thuis moet blijven omdat ik een berg huiswerk heb #weer ietnaarfamilie',y,b
'Wat een drama even je i pad up laten daten#weeropnieuwbeginnen',n,b
'Vanavond feestje! #weereenjaartjeouderbijna',n,g
'@huibdole jaaa heerlik man! #weergezelligwinter',n,g
'Heeft iemand een tip voor een andere app voor #buienradar ze hebben reclame toegevoegd, zo irritant. #durftevragen #weerplaza',n,b
'In Zeeland #weergeen3g',n,b
'Heldere blauwe hemel, zon net boven de horizon, zwak briesje uit ZO, balkontemperatuur 5 graden... #weerbericht #soestdijk',y,n
'Weer zulk #mooi #weer, lekker!',y,g
'Het word een vroege koude winter met in begin december al (kans op) sneeuw #weerman',n,n
'Leuk die kleurtjes na het wassen van de schoenen! #salomon #trailrunning #running #weerschoon http://t.co/37lFKutK',n,g
'9 minuten broekvoicemailingesproken gisteravond.... #weereenswatnieuws',n,b
'wat een #heerlijk #weer !!! genieten....   @bloemendepassie',y,g
'@ vandaag naar park Beau Sur Mer #Kattendijke druk met dit mooie #weer',y,g
'Haha 2-0 #weerguidetti',n,g
'Geweldig #klootschiet #weer in #Barchem, @korenbeurs, straks #buffet #heksenlaak http://t.co/igC95VxE',y,g
'Net ff naar de topper WSV-Vaasen geweest... vreselijk#weer45minutenvanmnlevenverkloot...',n,b
'Zo net weer even mijn Fireblade uitgelaten :P Heerlijk dat #motorrijden met dit #weer',y,g
'@nouwja Aha, ik dacht dat een vriend van ons die Gaaikema heet. #weerwatgeleerd',n,n
'@nouwja Opnieuw #weerwatgeleerd',n,n
'Na een bijna heldere start wordt het nu snel bewolkter en mistiger. Weinig wind, balkontemperatuur 7 graden... #weerbericht #soestdijk',y,n
'http://t.co/3AOv4slb\n\nJongens mogen niks meer! Kunnen we niet wat mannen vanuit Defensie het onderwijs in laten stromen.\n#weereenjuf',n,b
'Nieuwe mobiel #eindelijk #weer #twitteren',y,g
'Zo. Gras gemaaid en tuin geveegd. #weernetjes',n,g
'wat een held die #weerman van #neonletters.. hoe verzin je het',n,g
'Goedemorgen dinsdag 2/3 :-]  wat een #kak #weer!',y,b
'Heerlijk #weer om in je bed te blijven liggen, helaas stap ik zo op mijn fiets #doorweerenwind',y,b
'Het #weer zal vanmorgen veelbesproken zijn... het is echt herfst. Dat wordt autootje richting #sweetpoint.',y,b
'De #KNMI #weerkaart doet weer met klein hikupje 7.25 http://t.co/Zxb84nqL en veeeeel reeegen',n,b
'Mijn #wekker wil me eruit hebben, maar volgens mij kun je beter blijven liggen met dit #weer #herfst',y,b
'Wind en regen op #soestdijk. Balkontemperatuur 10 graden, echt herfstweer... #weerbericht',y,n
'RT @enroc: Je zal maar een hond hebben #weer\naaahhh',y,b
'Kutweer weer #weer',y,b
'Zo net weer bij @SanquinNL een #donatie van een halve liter bloed achter gelaten. #weergoedbezig',n,g
'#sierbestrating #weert is bezig met Natuursteenbenodigheden blokjes van stonebase te #Venlo http://t.co/xsZVAoyF',n,n
'@Roykeuter wanneer zie ik je #weer ? Haha',y,g
'@nancyboek ook van ons gefeliciteerd fijne dag! #weereenjaarerbij',n,g
'#antiklagen :-D RT “@OnlineMarketeer: Goed nieuws #weer regen trekt via ZuidOost NL uit, middag wellicht alweer #zon�?',y,g
'Okeee.... allepillen van 1 dag met de lunch nemen is geen goed plan #weerWatgeleerd.. Wel zonde van die 12 pillen.. Liggen nu in het riool',n,b
'goedemorgen! #weerwakker',n,g
'nou duits lere.. weer zoon nuttelozetaal! #weernutteloosmoment',n,b
'Leuk. Droog dagje met regenbui voor 8 uur en na 5 uur. #weerkletsnat',n,b
'Klaar met training #weerniksgedaan:(',n,g
'@Sabbiedeflap ja en ff gegoogeld waar meteren ligt haha in GELDERLAND!!!! #weerwatgeleerd',n,g
'biologie is te veel -.- #weeronvoldoende',n,g
'Zo kijk net ff #weer weekend motor rijden of met de auto en het dakje eraf!',y,g
'Ook een super mooie foto ;-) RT @Lynetterensen http://t.co/wM5jjb9f #regenbui #aambeeld #weer #hagel 18 oktober',y,g
'@stefangoudaa ik wens je echt veel suc6 om te winnen ;) #springers u-16 1 wint toch wel #weer !!',y,g
'RT @IlseLatour  Bier met blauwe kleurstof smaakt exact hetzelfde maar is toch echt minder lekker om te drinken.. #weerwatgeleerdvandaag',n,g
'Pw wiskunde gehad#weereenonvoldoende',n,g
'Het #glasvezelteam is druk aan het werk. #weerenwind #respect\n#Winterswijk nieuw #beroep: #glasvezelmonteur',n,n
'Shit de zon legt het af #weer regen of zit er iemand in de tl vreselijk te snotteren?',y,g
'Zon, blauwe lucht met een enkele wolk. Zacht briesje uit ZW, balkontemperatuur 12 graden... #weerbericht #soestdijk',y,n
'Onverwachts de keuken opgeruimd en nu lekker ontbijten #vies #weer',y,g
'Ik zie allemaal tweets van mensen uit harderwijk. Hagel,lekker kut dit en 2 minuten later begint het hier in putten te hagelen #weerbericht',n,n
'Ga je lekker in het zonnetje lopen, in pak, kom je in een stortbui terecht! #balen #weer',y,g
'Behoorlijk fel onweer... #weeroverijssel #074',n,g
'Het hagelt, het hagelt... #weertweet',n,n
'oepss morgen so alweeerrr n onvoldoende ;$ #weernietgeleert.',n,g
'@buurtaal @pieter_aart maar in DE heb je weer andere lekkere snacks: Döner, bratwurst, schnitzel, haxn, brezl, sauerbraten #weerhonger',n,b
'@GooodLifeee jij bent ook 1e toch ? ghehe maar t lukt wel om #Weer van jullie te winnen :D',n,g
'En we gaan gaan gewoon door! #nextepisode #weerdehelenachtgamen http://t.co/Xpmkz9dV',n,b
'Nog 1 uurtje en dan mag deze jongen weer lekker plaats nemen in de foedraal mens! #weerhelemaalnaardeklotevandenachtdiensttweet',n,b
'Wegens ziekte even geen #weerbericht...',n,n
'Wat een heerlijke halve work-out! Schildersbuurt - Haren op de skeelers. Straks de andere helft. #WeerTerug. :-)',n,b
'Gevaarlijk #weer opkomst #dreigend #regen #hagel? #onweer? #weeronline http://t.co/BaIgA46a',y,g
'Oeps! Gevlucht. Hier nu gelukkig #ff droog hoop ik  #weeronline http://t.co/2fgGnm3U',n,b
'Niemand thuis. #weergeenkoffie (@ Thuis bij pa en ma op de koffie) http://t.co/HvW7WS7D',n,b
'Het #weerbericht voor komend #weekend. In Gouda kan er lokaal veel #alcohol verwacht worden #bijnaweekend',n,b
'&quot;@ian0492: @NMvtje ik geef ook niks om hem maar wel dat je mij daar mee uitscheld&quot; schelt mij dat ook uit en niet smam #weerFaal',n,b
'morgen is het om 8u 0°c.;O #weeronline',n,n
'RT @jvdboom: Lekker thuis!!!!met oudste zoon voetbal kijken en cola drinken!!!#weereenmomentjeomtedelen - Psv?',n,b
'Lekker vroeg naar bed #slapen en morgen met frisse tegenzin naar zwolle #weervroegop',n,b
'Vandaag maar naakt rondlopen? #weer #groningen http://t.co/betJHKyC',y,g
'Aftellen naar het weekend... #shit #weerdetelkwijt',n,n
'mama en stiefpa #weerruzie en zo eten en dan werk #ikmoetw',n,g
'Gelukkg is die stinkerd langs me in de bus weg! #bah #Weerbijnaovermijnnek',n,n
'Wie vanavond keet #weerselo?',n,g
'Weekendbestemming bereikt.... #weerterbergen',n,g
'Obama meldt dat alle troepen voor het eind van dit jaar weg gaan uit Irak #weereenoorlogvoorbij',n,g
'#weervrouw amara onwuka van #tvgelderland is een lekker ding !!!!#nietverdervertellenhoor',n,g
'#Weersvoorspelling voor #vannacht koud tot -4 graden aan de grond\nmorgen zonnig tot 10 graden maar wel #koud. #brrrr. Tijd voor een #filmpje',y,b
'En weer lekker squashen met  @alexhidding, vorige keer ging superlekker, #weerzinin! (@ Sportcity w/ 3 others) http://t.co/x57g0Io8',n,g
'Kunnen we inplaats van een zeejachthaven niet beter draadloos internet op het strand aanleggen? #weergeenbereik',n,b
'Ik verklaar de #liefde aan @agnes_wolfs!!!\nMoge de #weergoden ons goed gezind zijn #afca #parijs #thalys #Disney',n,g
'@royhoonhorst T is nie koud.... Lekket #weertje!',n,n
'Boswandeling doet wonderen! #weerfrisinhethoofd #aandeslag #avans',n,g
'Weer wakker, afgelopen nacht bijna net zo lang geslapen als de 3 nachten daarvoor tezamen #weerfris',n,g
'Schoonmaken, boten uit het water halen en een leuk vuurtje #weerechtscouting',n,g
'Schitterende vergezichten op het strand van #Texel en fantastisch #weer http://t.co/KCkdmIF2',y,g
'Straks woordenschat Nederlands leren #weer',y,g
'#weer terug ♥',y,g
'zelfs een nabezorging van @volkskrant is teveel gevraagd. #hoemoeilijkkanhetzijn #weergeenkrantopnieuweadres',n,n
'Paar boodschappen doen en zo pizza eten in #Weert Vanavond laat voor de buis: Nacht van de popmuziek.',n,b
'Dolleboel bij het pannenkoekenhuis;) #weerthuis',n,n
'omg ik vind dat ventje echt geweldig! ik wist niet dat hij die smiegel was uit harry potter #WeerWatNieuwsGeleerd (:',n,g
'Relaxte ochtend in #Weerterbergen Kinderen hebben lekker uitgeslapen en we hebben nu ontbijt achter de kiezen. Vanmiddag bezoek van M en Y.',n,b
'Gisteravond erg lekker gegeten in #Weert zeker een aanrader bij: @De_Oude_Schut  #lekkereten #tip #restaurant',n,g
'@DancingSannie #weer Heerlijk toch? konden we hier maar een abonnement op nemen;-))',y,b
'Wat een lekker #weertje. #stedum http://t.co/le62HyBi',n,b
'Lekker herfstweer! #herfst #weer #zon',y,g
'Just passing trough #weerrichtinghuisvanschoonoudersvandaan (@ Beeld en Geluid) http://t.co/DRc4kehb',n,n
'gelukkig weet ik nu wat in boekverslag moet... #weerverderwerken :(',n,b
'morgen oefenwedstrijd heb der zin in ik voel gewoon dan we #WEER winnen :D',n,b
'Goedemorgen tweople! #weereenzonnigdagje',n,g
'Goedemorgen tweople! #weereenzonnigdagje',n,g
'Nu naar school gaan , #weernaarschool',n,g
'“@Robbin1987: Lees net dat China de € wil redden #weerdshit�? sambal bij?',n,g
'Pfff.. kom je op school heb je uitval #weerthuis',n,g
'En jahoor, school is weer begonnen! #weertoeaandevolgendevakantie!',n,b
'Morgen na #weert loesoe met geert',n,g
'school ook weer overleeft #weertoeaanvakantie',n,b
'@EetcafeDownTown @copsy Geen uitnodiging, wel een uitdaging dus! :-( #weermis',n,g
'die man geeft me #weer een 1 echt zomaar mochool ?;S',y,b
'Nog even wordfeud met @JorisHummel en dan slapen (: #weermooilullen',n,b
'Koud en donker. #weer om in je bed te blijven',y,g
'Goh smst mn baas vandaag geen werk schuurmachine kapot komt morgen weer #weervoornikszovroegopgestaan Haha',n,g
'Zonsopkomt met mooie lichteffecten. Regenbuien, weinig wind, balkontemperatuur 12 graden... #weerbericht #soestdijk',y,n
'Nog 50 minuutjes treinen #weert',n,n
'Uurtje schaatsen met Yvon in Deventer; laat de vorst nog maar even wachten #weerwennen',n,g
'In de file om de parkeergarage uit te komen en nu op de rondweg ook file... #weerlaatetenvanavond http://t.co/wwKTdO69',n,b
'@xJuliacoster @FredGanga @MyraDinkelberg \nNaaah! Ooh zo!\nBedankt! #weerwatwijzer\n#beneenbegingeling...sorry',n,g
'\"@rtvoost: Stuur je mooiste herfstfoto op en win een herfstpakket!l #weeroverijssel\": Buurserveen! http://t.co/ccA6StuY http://t.co/oaGDgg0A',n,g
'Bewolkt maar droog. Briesje uit het zuiden, balkontemperatuur 12 graden... #weerbericht #soestdijk',y,n
'Ik moet naar school #weerwifiover10minuten',n,b
'Lopend richting werk#weerisgoed',n,g
'Eruitgestuurd en toen liep ik terug en toen #weereruit! Haha',n,g
'Inmiddels bij #rtvrijnmond en bezig met het voorbereiden van de #weersverwachting op #tvrijnmond.',n,g
'Gent-club brugge kijken! 1-0 heerlijke goal na 5 min #geeneredivisielive #weereenswatanders',n,g
'Hmmz hele snelweg dicht. Toeristisch door nunspeet. #weerrijden',n,g
'Zaterdag staan we op de #markt in #Weerselo van half 9 tot 14:00uur met #feestartikelen. Komt allen gezellig langs! www.morssinkpartyshop.nl',n,g
'Even lekker darten met Miluska op woensdagavond en dan haar eerste \"180\" ooit om je oren krijgen. Onbetaalbaar! #gezellig #weertelaat',n,g
'Na 20 minuten Joost eindelijk overtuigd dat hij een jas aan moet *#^*£@& nu dus #weertelaat',n,b
'Mooi gekleurde zonsopkomst. Half bewolkt, zacht briesje uit O., balkontemperatuur 10 graden... #weerbericht #soestdijk',y,n
'Zo pannenkoeken bakken #weereenswatanders',n,g
'Ritje richting dieren #weer ergeren aan die k #t vrachtwagens',y,g
'@Nachtengeltje ja daar heb ik al meer mensen over gehoord en het wordt alleen maar slechter #weer dat zijn nare dagen voor je mop xxx',y,b
'Verwacht: heel december #sneeuw, januari Siberische temperaturen a -20+! Ik ben er klaar voor; kom maar op. #weer #winter #unox',y,b
'#weer thuis',y,g
'FACKING moeilijke KT WisD jonge :$$$$ #WeerEen1',n,g
'een horrorwinter op komst? hadden ze ook niet de heetste zomer ooit voorspeld?  #horrorwinter #weermanneken #voorspellingen',n,n
'nu naar mentorgesprek #weer naar school :(',y,g
'Het spijt me vergeef me anders kan ik het niet zeggen #weeropdebuis kijken',n,n
'Mijn poep is populair.. #weerinbed',n,n
'@manojero1963 hoi Marjon, goedemorgen en ja zeg dat zeker #weer',y,g
'De dag starten met tekenen koopovereenkomst Geerdshof 2 #Weerselo met alle partijen! (@ Schasfoort Makelaars) http://t.co/42XMDi54',n,g
'Half bewolkt, windstil en droog. Balkontemperatuur 10 graden... #weerbericht #soestdijk',y,n
'Net even naar buiten geroepen dat het drie dagen mooi weer zou zijn dus of ze het water weer even willen uitzetten #mooivak #weerman/vrouw',n,b
'Ja hoor, we gaan zo dadelijk toch maar eens beginnen met leren. Jammer van het mooie #weer',y,g
'Wat is dit voor bier? Lees woensdag meer in #demooirooikrant. #weereenmooievenement http://t.co/EU3eddWm',n,b
'hallo twitter #weer terig',y,g
'Thuis #totvier #honger #buikpyn #wachten op avondeten #weerinbad?',n,g
'Laden @Wavin! Ach gelukkig ben ik vanmorgen pas om 5uur begonnen! Kan je rustig 12.5uur later nog ff laden jah #weereensmooioptijd #FAIL',n,b
'Ahhhhh,ik heb toch zo\'n lief vriendje #weerhelemaalblijjjj',n,g
'@Jofra2 Daar moet op gedronken worden vind ik! #weereenredenvooreenfeestje',n,b
'Good morning world #weereensaaiedag',n,g
'De zon is weer opgekomen ! Ondanks de financiële crisis. Droog, licht bewolkt, windstil. Balkontemperatuur 10 gr. #weerbericht #soestdijk',n,g
'@pietsweerbericht @pietpaulusma Het is november en het wordt 16°! Heerlijk #weer! http://t.co/6TbnFIDo',y,b
'Nog lekker zonder jas Yuri ophalen. #papadag #weertje (@ OBS Het Palet) http://t.co/Qi7Wm3zf',n,g
'wakker #weerslapen',n,g
'Idere dag mezelf opnieuw weer verder uitvinden als boodschapper van #leiderschap en #change in het onderwijs! #inspiratie en #weerstand',n,n
'pffff geen zin :P #weerdinsdag',n,g
'Hiephoi! Nieuwe ketel geinstalleerd! #weerwarmwater',n,g
'terug van trainen ff op com dan chips vreten achter tv en dan pitten #weerthuis',n,g
'Leuke #weervrouw #nosjournaal',n,g
'best tevreden met me haar ;p toch even minder gedaan dan eerst van plan maar ben zeker tevreden #weereenswatanders',n,b
'Lag je te slapen, gaat de huistelefoon die op je kamer lag #weerwakker',n,g
'@mananavnr @hesseldeberucht jah, mooie foto\'s van hem zijn zeldzaam, die wil ik allemaal zien haha #weerlullig:(',n,g
'Standaard een politie team bij de #ahxl neerzetten lijkt me handiger... #weereenalarm wordt je toch niet goed van... #houiemandanserswakker',n,g
'Zacht weer?!?! Kom op zeg!! het is gewoon f*cking warm voor de tijd van het jaar @knmi #weerbericht',n,n
'Historische dag! Mag nu dan echt de strippenkaart die ik al 6 jaar in mijn porto heb zitten, echt weggooien :-) #weereentijdperkteneinde',n,g
'Doeeeix - #weer leren S:',y,g
'Ff potje darten #weer (@ Dennis en Jose\'s Place) http://t.co/klk6THfQ',y,g
'volgende week disco op school #weeral',n,g
'Vanavond oudercursus klassieke talen en kunstgeschiedenis gehad op school oudste, leuk  #weerindeschoolbanken',n,g
'Poe, wat vroeg.\n#weerHeiloo#weerdatklereeind#oppad.',n,g
'3 november 1980: 8 cm. sneeuw.. 3 november 2011: 18 graden. #weer #Zwolle',y,g
'Bewolkt met een streepje zon. Zuchtje wind uit ZO, droog, balkontemperatuur 14 graden... #weerbericht #soestdijk',y,n
'Schiet op met dat #teamoverleg -Im hungry !!! Zo mams\' nasi van gisteren magnetronnen, #weereenswatandersdanbrood!!',n,g
'Het was toch de schuld van die tornado? #weerwoord #mythe #poolsbusje http://t.co/PoIrvMgz',n,g
'Wat nou record temperatuur? Het is hier grijs en niet echt 17 graden #weer http://t.co/RslgJbCe',y,n
'Geen leraar te bekennen... #grmbl #weerterug (@ NHL Hogeschool w/ 3 others) http://t.co/h8g68QwX',n,n
'Happie eten :) #weeruiteten (@ Ma & Pa\'s Place) http://t.co/DWEoqnH2',n,b
'Pauze voorbij #weerwerken',n,g
'@Inge_w gekregen bij een krat bier denk! #weereenstarslet',n,g
'eindelijk weer #home vandaag ff nieuw wereldrecord gevestigd! wasleuk nu EINDELIJK wat etennnnn #weertwitoff',n,g
'Persluchttraining #weerffonderduiken',n,g
'@Hetty6 Ja spannend voor je! #weertentamens Veel plezier morgen dan!Ik ga of film kyken met Jacco,@Rikkuss &co of doorleren #goedevoornemens',n,g
'@koningkonrad @x_Krullenbol_x @xfloormorero ow ja de duitse chicks zal jij erbij moeten fotoshoppen #weerflauw',n,b
'Nu op mijn vrije schooldagje om kwart over 4 eruit en nu op de fiets naar A. van den Elzen Transport in Nistelrode. #weerlekkervroegwerken:D',n,n
'@pontmeyer #weerveelstevroeg',n,g
'Gisteren was t nog condens nu zijn t WEER druppels. #VochtAchterHorloge #pulsar #fail #WeerWeekHorlogeKwijt',n,g
'Goedemorgen zo #oudijzer ophalen #almelo #hengelo #deurningen #oldenzaal #weerselo #tubbergen #harbrinkhoek',n,g
'Zonsopkomst met mooie wolkenformaties. Droog en zacht, balkontemperatuur 14 graden, briesje uit ZO... #weerbericht #soestdijk',y,n
'Spullen pakken voor een weekendje #Centerparcs #weerofgeenweeraltijdcentrrparcsweer #',n,b
'MOOI #weer onderweg! #goedweekend http://t.co/XA6Usfds',y,g
'het lijkt wel of de #wintertijd zich vergist heeft met een paar maanden ... #weertje !',n,g
'Met dit #heerlijke #weer druk aan het voorbereiden. Vanavond hebben de #leerkrachten van #sbo #AnnieMGSmit een Italiaans #personeelsfeest.',y,b
'Weken geleden de afspraak al gemaakt, dus straks de winterbanden monteren.... Weet ik veel dat het in november nog 17gr is #weerisindewar',n,n
'Volop zon en 18 graden! #heerlijk #herfst #weer Wat zal die koude ons da\'lijk hard op ons dak vallen! NU genieten dus, hè? #antiklagen',y,b
'@Essie1966 nou lag ik ook wel van 9:30 tot 13:00 te pitten ... We geven het #weer gewoon de schuld ... #hetishetweer',y,g
'@loopmaatjes @looppassie training van 1:20, 13,2 km #trots in korte broek en t-shirt op 4 november #weerisvanslag',n,b
'De grote boef is er weer!! #weerhelemaalblij http://t.co/FgAj2Xbe',n,b
'@edaldus #weerkalender Ik heb je het idee ingegeven van weerpodcast.nl.  Zwijndrecht is met de scooter aan te rijden ;-) Fijn weekend',n,g
'#weertweet ;\n\nVandaag, zon en een wolkje.\nEen temperatuur van ong 14 graden\n\nEinde',y,g
'iPhone SimOnly abonnement 500 min/sms/1000 MB 24,94 geen vast contract http://t.co/IgWV1KIN #simonly #weekend #weer #Nieuws #iphone',y,g
'Mooie rooie zonsopkomst. Nu is het bewolkt, maar droog en windstil. Balkontemperatuur 14 graden... #weerbericht #soestdijk',y,n
'en dan te bedenken die van mij.... :( #weerhalfwerk ;) “@JvdMeulen: @Grytsje16 oo maar je hebt mijn adres nog niet.�?',n,b
#weerterugg,n,g
'Oma opgehaald, nu ff koffie en dan dansvoorstelling jongste en voetbal oudste #weerheelprograamma (@ Stads-koffyhuis) http://t.co/rGNlhTTE',n,b
'De #plantenbakken staan inderdaad verkeerd. Maandag gaan ze naar het volgende stuk BBlaan . #weerruimteopdestoep',n,g
'http://t.co/0u4WsaCY - Lekker #weer op de #golf hoor',y,n
'http://t.co/QmWh6LDM - Iets te lekker #weer om te #golfen en de bal te volgen',y,g
'@estherdeeerste #hahahaha #en de volgende keer doe je het zo #weer',y,g
'Heerlijk weer #genieten van het #weer',y,g
'@Aefke te gek voor woorden dat er geen weeralarm afgegeven is. 18 graden in november #weeralarm #indiansummer',y,g
'#z&z leiden 8 punten achter na eerste kwart tegen #weert. Hoe is dit fucking mogenlijk.. #comeonleiden #leiden',n,n
'#zzleiden wint heeel moeizaam van #Weert met 71 vs 69. Op naar woensdag dan maar......#leiduh',n,g
'eem een tosti met siempie en dan pitteng #weereenhalfgammelezaterdag bij @JenniferMeijs94 was wel gezellig',n,b
